over,ball,runs,extra,bowler,batsman,shot_direction
18,6,6,,Vipraj Nigam,Sai Sudharsan,Long-On
18,5,1,,Vipraj Nigam,Shubman Gill,Deep Extra Covers(Sweeper Cover)
18,4,1,,Vipraj Nigam,Sai Sudharsan,Country
18,3,0,,Vipraj Nigam,Sai Sudharsan,No Run
18,2,1,,Vipraj Nigam,Shubman Gill,Deep Extra Covers(Sweeper Cover)
18,1,2,,Vipraj Nigam,Shubman Gill,Deep Extra Covers(Sweeper Cover)
17,6,1,,Kuldeep Yadav,Shubman Gill,Pull Shot
17,5,2,,Kuldeep Yadav,Shubman Gill,Country
17,4,1,,Kuldeep Yadav,Sai Sudharsan,Long-Off
17,3,0,,Kuldeep Yadav,Sai Sudharsan,Extra Covers
17,2,6,,Kuldeep Yadav,Sai Sudharsan,Sightscreen
17,1,1,,Kuldeep Yadav,Shubman Gill,Deep Square Leg
16,6,1,,T Natarajan,Shubman Gill,Deep Covers
16,5,6,,T Natarajan,Shubman Gill,Deep Mid-Wicket
16,4,4,,T Natarajan,Shubman Gill,Backward Point
16,3,1,,T Natarajan,Sai Sudharsan,Mid-Wicket
16,2,4,,T Natarajan,Sai Sudharsan,Straight
16,1,2,,T Natarajan,Sai Sudharsan,Country
15,6,0,,Mustafizur Rahman,Shubman Gill,Short Mid-Off
15,5,1,,Mustafizur Rahman,Sai Sudharsan,Wide Long-On
15,4,1,,Mustafizur Rahman,Shubman Gill,Short Extra Covers
15,3,1,,Mustafizur Rahman,Sai Sudharsan,Push
15,2,4,,Mustafizur Rahman,Sai Sudharsan,Short Third Man
15,1,4,,Mustafizur Rahman,Sai Sudharsan,Short Fine Leg
14,6,0,,Vipraj Nigam,Shubman Gill,No Run
14,5,1,,Vipraj Nigam,Sai Sudharsan,Deep Covers
14,5,1,WD,Vipraj Nigam,Sai Sudharsan,Wide
14,4,1,,Vipraj Nigam,Shubman Gill,Deep Extra Covers(Sweeper Cover)
14,3,1,,Vipraj Nigam,Sai Sudharsan,Wide Long-On
14,2,1,,Vipraj Nigam,Shubman Gill,Cover Point
14,1,6,,Vipraj Nigam,Shubman Gill,Stands
13,6,1,,Kuldeep Yadav,Shubman Gill,Country
13,5,1,,Kuldeep Yadav,Sai Sudharsan,Wide Long-On
13,4,0,,Kuldeep Yadav,Sai Sudharsan,No Run
13,3,2,,Kuldeep Yadav,Sai Sudharsan,Deep Mid-Wicket
13,2,1,,Kuldeep Yadav,Shubman Gill,Country
13,1,4,,Kuldeep Yadav,Shubman Gill,Point
12,6,4,,Dushmantha Chameera,Sai Sudharsan,Sweeper Cover
12,5,1,,Dushmantha Chameera,Shubman Gill,Pull Shot
12,4,6,,Dushmantha Chameera,Shubman Gill,Mid-Wicket
12,3,4,,Dushmantha Chameera,Shubman Gill,Straight
12,3,1,WD,Dushmantha Chameera,Shubman Gill,Wide
12,2,2,,Dushmantha Chameera,Shubman Gill,Push
12,1,1,,Dushmantha Chameera,Sai Sudharsan,Wide Long-On
11,6,1,,T Natarajan,Sai Sudharsan,Long-Off
11,5,1,,T Natarajan,Shubman Gill,Long-On
11,4,1,,T Natarajan,Sai Sudharsan,Wide Long-On
