MatchID,Franchise,TimestampFrameNumber,AudioPeakScore,VisibleSponsorsDuringPeak
Match 60 DC VS GT,Delhi Capitals,0.96,0.14334527,HeroFincorp
Match 60 DC VS GT,Delhi Capitals,4.32,0.1346764,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,8.64,0.13761443,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,13.44,0.13255413,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,28.32,0.0635598,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,30.72,0.074493356,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,36,0.076769546,"Puma, Jio"
Match 60 DC VS GT,Delhi Capitals,39.84,0.07550867,Jio
Match 60 DC VS GT,Delhi Capitals,44.64,0.07640541,BKT
Match 60 DC VS GT,Delhi Capitals,47.52,0.07621857,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,52.32,0.07686146,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,55.2,0.07670407,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,58.56,0.0687885,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,63.36,0.075950526,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,67.2,0.063400336,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,71.52,0.07651958,BKT
Match 60 DC VS GT,Delhi Capitals,73.92,0.07664123,BKT
Match 60 DC VS GT,Delhi Capitals,76.8,0.07625218,HeroFincorp
Match 60 DC VS GT,Delhi Capitals,79.68,0.07216931,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,83.52,0.07631369,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,87.36,0.07634183,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,90.72,0.069189645,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,93.12,0.076733954,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,95.52,0.07584079,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,98.88,0.072679766,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,102.24,0.076725036,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,106.56,0.076662995,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,112.8,0.07680601,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,115.68,0.07665554,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,120.48,0.07683831,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,123.36,0.07688931,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,126.72,0.07614358,No DC Sponsor Detected
Match 60 DC VS GT,Delhi Capitals,129.12,0.07882075,BKT
Match 60 DC VS GT,Delhi Capitals,132.48,0.07396391,No DC Sponsor Detected
