match_name,franchise,,label,sponsor_name,sponsor_asset_type,sponsor_asset_location,sponsor_asset_visibility,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2
Match_63_TATA_IPL_2025_MI_vs_DC,Delhi Capitals,,DPWorld_jersey_back_logo_clear,DPWorld,jersey,back_logo,clear,0.85903585,510.8575439,230.8488922,619.7744141,296.4256592
Match_63_TATA_IPL_2025_MI_vs_DC,Delhi Capitals,,motorola_trousers_logo_blurry,motorola,trousers,logo,blurry,0.454779118,671.3174438,499.4155273,753.1044312,547.6491699
Match_63_TATA_IPL_2025_MI_vs_DC,Delhi Capitals,,AllSeasons_jersey_chest_logo_blurry,AllSeasons,jersey,chest_logo,blurry,0.186679929,658.7957764,243.074585,738.8570557,285.5783691
Match_63_TATA_IPL_2025_MI_vs_DC,Delhi Capitals,,Jio_jersey_shoulder_logo_partially_visible,Jio,jersey,shoulder_logo,partially_visible,0.178819999,1020.037598,302.352417,1065.231201,349.4837646
Match_63_TATA_IPL_2025_MI_vs_DC,Delhi Capitals,,motorola_trousers_logo_blurry,motorola,trousers,logo,blurry,0.150836542,409.0961914,506.3465576,482.6149902,557.9189453
Match_63_TATA_IPL_2025_MI_vs_DC,Delhi Capitals,,Freemans_cap_logo_partially_visible,Freemans,cap,logo,partially_visible,0.509364009,847.2477417,115.9323425,908.8411255,178.4519348
Match_63_TATA_IPL_2025_MI_vs_DC,Delhi Capitals,,Acko_cap_logo_clear,Acko,cap,logo,clear,0.48193574,844.0065918,121.506958,903.6112061,179.2697144
Match_63_TATA_IPL_2025_MI_vs_DC,Delhi Capitals,,GMR_jersey_sleeve_logo_partially_visible,GMR,jersey,sleeve_logo,partially_visible,0.401541322,885.2758789,231.0030823,945.6416016,270.4570618
Match_63_TATA_IPL_2025_MI_vs_DC,Delhi Capitals,,AllSeasons_jersey_chest_logo_blurry,AllSeasons,jersey,chest_logo,blurry,0.265030652,348.7868042,234.9755249,427.4213257,273.6248169
Match_63_TATA_IPL_2025_MI_vs_DC,Delhi Capitals,,Encalm_trousers_logo_partially_visible,Encalm,trousers,logo,partially_visible,0.252108663,783.7441406,463.6317139,851.4387207,523.3223877
Match_63_TATA_IPL_2025_MI_vs_DC,Delhi Capitals,,HeroFincorp_jersey_chest_logo_clear,HeroFincorp,jersey,chest_logo,clear,0.158663228,352.6065674,271.7816772,485.2162476,320.8129272
