MatchID,Franchise,TimestampFrameNumber,AudioPeakScore,VisibleSponsorsDuringPeak
Match 60 DC VS GT,GUJRAT TITANS,0.96,0.14334527,Dream11
Match 60 DC VS GT,GUJRAT TITANS,4.32,0.1346764,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,8.64,0.13761443,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,13.44,0.13255413,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,28.32,0.0635598,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,30.72,0.074493356,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,36,0.076769546,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,39.84,0.07550867,Jio
Match 60 DC VS GT,GUJRAT TITANS,44.64,0.07640541,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,47.52,0.07621857,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,52.32,0.07686146,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,55.2,0.07670407,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,58.56,0.0687885,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,63.36,0.075950526,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,67.2,0.063400336,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,71.52,0.07651958,BKT
Match 60 DC VS GT,GUJRAT TITANS,73.92,0.07664123,BKT
Match 60 DC VS GT,GUJRAT TITANS,76.8,0.07625218,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,79.68,0.07216931,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,83.52,0.07631369,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,87.36,0.07634183,"BKT, Equitas, Acko, Jio"
Match 60 DC VS GT,GUJRAT TITANS,90.72,0.069189645,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,93.12,0.076733954,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,95.52,0.07584079,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,98.88,0.072679766,"AstralPipes, SimpoloCeramics, Jio "
Match 60 DC VS GT,GUJRAT TITANS,102.24,0.076725036,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,106.56,0.076662995,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,112.8,0.07680601,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,115.68,0.07665554,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,120.48,0.07683831,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,123.36,0.07688931,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,126.72,0.07614358,NO GT SPONSOR DETECTED
Match 60 DC VS GT,GUJRAT TITANS,129.12,0.07882075,"Jio, Acko, Dream11"
Match 60 DC VS GT,GUJRAT TITANS,132.48,0.07396391,NO GT SPONSOR DETECTED
