tweet_favorite_count,tweet_retweet_count,tweet_media_urls/0,tweet_view_count,tweet_text,user_location,user_handle,tweet_created_at,id,Hashtags
262,43,https://pbs.twimg.com/ext_tw_video_thumb/1772681580173250560/pu/img/Sa0IzWA0dHOfVJYe.jpg,53139,"📢 Attention #IPL fans at M.A. Chidambaram Stadium, Chepauk!

#MTCChennai is all set to make your commute around #Chennai hassle-free!

Fleets are ready for boarding at Anna Square Bus Stand, Madras University Bus Stop, and Anna Salai near Omandurar Government Hospital. Don't forget to show your online or pre-printed match tickets to conductors for fare-free travel up to 3 hours after the game ends. 

To know about the boarding points: https://t.co/ybH7yQRVNr

Enjoy the match and safe travels!

#MTC4Chennai | #IPL | #ChennaiSuperKings | #MTC | #CSKvsGT | #PublicTransport | @ChennaiIPL | @IPL",,MtcChennai,Tue Mar 26 17:47:08 +0000 2024,tweet-1772681709215162815,"IPL,MTCChennai,Chennai"
3,2,https://pbs.twimg.com/media/GJnWIZsWoAAlTuu.jpg,106,"WHAT A CATCH !  Mr.Dhoni 💛

#CSKvGT #IPLUpdate #IPL
 https://t.co/us4dHzd0Uf",Pakistan,MZshanTweets,Tue Mar 26 18:36:19 +0000 2024,tweet-1772694083279999399,"CSKvGT,IPLUpdate,IPL"
414,20,https://pbs.twimg.com/ext_tw_video_thumb/1772686047547150336/pu/img/inqKLZ2DVDDEzV9t.jpg,10985,"✅ 2 wins out of 2.
✅ Table toppers.

💛 CSK marches on! 
#IPL #IPL2024 #CSKvGT #BharatArmy  https://t.co/VlQZ6OvKPj",,thebharatarmy,Tue Mar 26 18:14:25 +0000 2024,tweet-1772688572186780012,"IPL,IPL2024,CSKvGT,BharatArmy"
26,2,https://pbs.twimg.com/ext_tw_video_thumb/1772685832899452928/pu/img/sfTDTc77Shojp6Aw.jpg,6589,"#IPL @shoaib100mph 
Speed Star https://t.co/L4zNhjgxIx","Dubai, United Arab Emirates",DrRihabOfficial,Tue Mar 26 18:03:54 +0000 2024,tweet-1772685928110199104,IPL
5,2,https://pbs.twimg.com/amplify_video_thumb/1772688978669355008/img/XRn5NcYH2Xq1g8tw.jpg,177,"Still got it! 💪🏻🔥

#ThalaThalaDhaan 

#விசில்போடு #
#MSDhoni #CSK #CSKvGT #CSKvsGT #IPL #IPL2024 #TATAIPL #TATAIPL2024 https://t.co/G1cxKPotYS",Jodhpur ,yudhistharswami,Tue Mar 26 18:16:15 +0000 2024,tweet-1772689036487897588,"ThalaThalaDhaan,விசில்போடு,MSDhoni,CSK,CSKvGT,CSKvsGT,IPL,IPL2024,TATAIPL,TATAIPL2024"
361,66,https://pbs.twimg.com/media/GJnXrcQXAAAOuCR.jpg,7827,"Podra beat ah 🔥

#CSKvGT #IPL https://t.co/4g0XwVffcN",Earth,Harish_NS149,Tue Mar 26 18:00:31 +0000 2024,tweet-1772685073206100340,"CSKvGT,IPL"
1,0,https://pbs.twimg.com/ext_tw_video_thumb/1772661032479232000/pu/img/i_BCAc2U4iCn7FuB.jpg,53,This was the best ad of #IPL that's educational too https://t.co/lYQdP8RbBF,India,ArunKNairr,Tue Mar 26 16:25:18 +0000 2024,tweet-1772661113869439135,IPL
88,7,https://pbs.twimg.com/ext_tw_video_thumb/1772683210389913600/pu/img/IRdHvm9yzTMyGvOB.jpg,4749,"'Ravindra' picking up many catches in a single match is not new in CSK 😁

Usually, it will be Jadeja, but today it was Rachin 😄

#IPL2024 #IPL #TATAIPL #CSKvGT #CSKvsGT #GTvCSK #GTvsCSK

https://t.co/XErJMcaFt1",,tctv1offl,Tue Mar 26 17:57:13 +0000 2024,tweet-1772684246651490633,"IPL2024,IPL,TATAIPL,CSKvGT,CSKvsGT,GTvCSK,GTvsCSK"
48,11,https://pbs.twimg.com/ext_tw_video_thumb/1772686081596473344/pu/img/ZWk-jIDF7DTYxpjF.jpg,1162,"#CSK won by 63 runs top off the table 💥🦁

#Ipl https://t.co/qJx8lylmpq",India ,rajkumar_tweetz,Tue Mar 26 18:04:40 +0000 2024,tweet-1772686119005462621,"CSK,Ipl"
25,5,https://pbs.twimg.com/ext_tw_video_thumb/1772700928187023361/pu/img/Id35345xfmswD_T7.jpg,1946,Csk at Chepauk 🔥 #CSKvsGT #Dhoni #IPL https://t.co/kbfB5BI0xM,,Maheshh_Dasari,Tue Mar 26 19:03:36 +0000 2024,tweet-1772700950223872488,"CSKvsGT,Dhoni,IPL"
4,0,https://pbs.twimg.com/media/GJnf4BSXoAEpzD6.jpg,1441,"Which one was your favourite catch?🤔💛

#RachinRavindra #ShivamDube #MSDhoni #RuturajGaikwad #ShubmanGill #GT #CSK #CSKvGT #CSKvsGT #IPL #IPL2024 #TATAIPL #TATAIPL2024 https://t.co/0F4HjBcwjh","Dubai, United Arab Emirates",irishabhparmar,Tue Mar 26 18:36:21 +0000 2024,tweet-1772694093560254750,"RachinRavindra,ShivamDube,MSDhoni,RuturajGaikwad,ShubmanGill,GT,CSK,CSKvGT,CSKvsGT,IPL,IPL2024,TATAIPL,TATAIPL2024"
2,0,https://pbs.twimg.com/media/GJneMevaIAEgS4B.jpg,538,Is Shubman Gill the most handsome cricketer in India? 🇮🇳 #abuksports #IPL #IPL2024 #IPLUpdate #TATAIPL #ShubmanGill #RachinRavindra #CSKvsGT #ViratKohli #Chennai #Dhoni #CSK #Thala #chepauk #gujrat #Pakistan https://t.co/UT0MMoYxrL,"Karachi, Pakistan",ABUKALEX,Tue Mar 26 18:29:12 +0000 2024,tweet-1772692294040219897,"abuksports,IPL,IPL2024,IPLUpdate,TATAIPL,ShubmanGill,RachinRavindra,CSKvsGT,ViratKohli,Chennai,Dhoni,CSK,Thala,chepauk,gujrat,Pakistan"
7,1,https://pbs.twimg.com/media/GJnYxXnXoAAYfSO.jpg,404,"Second  win 🔥

#CSKvGT #IPL https://t.co/eyqRUaRE1z",🪐,Vijay_here001,Tue Mar 26 18:05:21 +0000 2024,tweet-1772686293283074215,"CSKvGT,IPL"
4,2,https://pbs.twimg.com/media/GJnI_wtWIAInVc1.jpg,209,"THE GOAT - DHONI. 👌
#dhoni 
#IPL https://t.co/NYgVhrB1W0",localhost 8080 ,codewithsumit_0,Tue Mar 26 16:56:23 +0000 2024,tweet-1772668936087109650,"dhoni,IPL"
5,1,https://pbs.twimg.com/media/GJncSvOWoAAsLy-.jpg,507,"Shivam Dube said, ""CSK has given me the freedom to express myself"".🔥💛

#RachinRavindra #ShivamDube #MSDhoni #RuturajGaikwad #ShubmanGill #GT #CSK #CSKvGT #CSKvsGT #IPL #IPL2024 #TATAIPL #TATAIPL2024 https://t.co/aZ8H9WD1jZ","Dubai, United Arab Emirates",irishabhparmar,Tue Mar 26 18:20:45 +0000 2024,tweet-1772690165137367330,"RachinRavindra,ShivamDube,MSDhoni,RuturajGaikwad,ShubmanGill,GT,CSK,CSKvGT,CSKvsGT,IPL,IPL2024,TATAIPL,TATAIPL2024"
3,0,https://pbs.twimg.com/ext_tw_video_thumb/1772692420620161024/pu/img/KpHT5oJR0Y7j9FCG.jpg,447,Thala's catch #CSKvsGT #Dhoni #IPL https://t.co/cyupZO6dXG,,Maheshh_Dasari,Tue Mar 26 18:29:47 +0000 2024,tweet-1772692441545470260,"CSKvsGT,Dhoni,IPL"
2,0,https://pbs.twimg.com/media/GJnAQzcW4AApptR.jpg,486,"Shubhan gill in focus 

Watch your favourite star on the
#ipl 
#ShubmanGill
#GTvsCSK https://t.co/vDdEkCGRDj",localhost 8080 ,codewithsumit_0,Tue Mar 26 16:18:13 +0000 2024,tweet-1772659328865939663,"ipl,ShubmanGill,GTvsCSK"
330,16,https://pbs.twimg.com/media/GJneABTW4AAPH4m.jpg,9684,"Shivam dube
#shivamdube #ipl2024
#ipl #csk #chepauk https://t.co/C0nHLviDng","Mumbai, India",RVCJ_Sports,Tue Mar 26 18:28:08 +0000 2024,tweet-1772692026061947092,"shivamdube,ipl2024,ipl,csk,chepauk"
49,4,https://pbs.twimg.com/media/GJnQsISW8AA9cxt.jpg,2664,"Undertaker Pathirana has arrived in #IPL2024 !

#IPL2024 #IPL #TATAIPL #CSKvGT #CSKvsGT #GTvCSK #GTvsCSK https://t.co/BV5gc6CfLY",,tctv1offl,Tue Mar 26 17:30:12 +0000 2024,tweet-1772677447516860890,"IPL2024,IPL2024,IPL,TATAIPL,CSKvGT,CSKvsGT,GTvCSK,GTvsCSK"
3,0,,758,"Kavya Maran’s celebration during the SRH vs MI match IPL 2024.🔥🧡

#TravisHead #AbhishekSharma #HeinrichKlaasen #AidenMarkram #HardikPandya #RohitSharma #JaspritBumrah #MI #SRH #SRHvMI #SRHvsMI #IPL #IPL2024 #TATAIPL #TATAIPL2024

 https://t.co/vXsvpXq44I","Dubai, United Arab Emirates",irishabhparmar,Wed Mar 27 20:09:50 +0000 2024,tweet-1773080006052266235,"TravisHead,AbhishekSharma,HeinrichKlaasen,AidenMarkram,HardikPandya,RohitSharma,JaspritBumrah,MI,SRH,SRHvMI,SRHvsMI,IPL,IPL2024,TATAIPL,TATAIPL2024"
1,0,https://pbs.twimg.com/ext_tw_video_thumb/1773067531600998400/pu/img/7l-TQXaZk4gWFJ32.jpg,91,"Fcuk that tinpot trophy, hook or crook we should again top on the highest score.
#IPL
#RCB https://t.co/jbe732cUjh",No man's land ,kicchakaushik,Wed Mar 27 19:20:20 +0000 2024,tweet-1773067547811651924,"IPL,RCB"
1,0,https://pbs.twimg.com/media/GJtAchDasAEAplc.jpg,435,"MAYANK AGARWAL 🤝 ZERO GRAVITY

#TravisHead #AbhishekSharma #HeinrichKlaasen #AidenMarkram #HardikPandya #RohitSharma #JaspritBumrah #MI #SRH #SRHvMI #SRHvsMI #IPL #IPL2024 #TATAIPL #TATAIPL2024 https://t.co/lfmELGGOtY","Dubai, United Arab Emirates",irishabhparmar,Wed Mar 27 20:16:54 +0000 2024,tweet-1773081783136874698,"TravisHead,AbhishekSharma,HeinrichKlaasen,AidenMarkram,HardikPandya,RohitSharma,JaspritBumrah,MI,SRH,SRHvMI,SRHvsMI,IPL,IPL2024,TATAIPL,TATAIPL2024"
1,0,https://pbs.twimg.com/media/GJtB14easAMJLj3.jpg,459,"Captain Pat Cummins with the two SRH’s winning stars of tonight’s game.🌟🧡

#TravisHead #AbhishekSharma #HeinrichKlaasen #AidenMarkram #HardikPandya #RohitSharma #JaspritBumrah #MI #SRH #SRHvMI #SRHvsMI #IPL #IPL2024 #TATAIPL #TATAIPL2024 https://t.co/9EDq3J1eHz","Dubai, United Arab Emirates",irishabhparmar,Wed Mar 27 20:22:53 +0000 2024,tweet-1773083290854949201,"TravisHead,AbhishekSharma,HeinrichKlaasen,AidenMarkram,HardikPandya,RohitSharma,JaspritBumrah,MI,SRH,SRHvMI,SRHvsMI,IPL,IPL2024,TATAIPL,TATAIPL2024"
5,0,https://pbs.twimg.com/media/GJsmuOcagAEgoRB.jpg,354,"#Klassen after kuting #MumbaiIndians.😅
#MIvsSRH #SRHvMI #HardikPandya #abhishek #IPL #JioCinema #Cummins #RohitSharma𓃵 #SRH #SunrisersHyderabad #MI #TATAIPL https://t.co/A2Ikn23qmV",India,itsfaisalpasha,Wed Mar 27 18:24:21 +0000 2024,tweet-1773053460893544957,"Klassen,MumbaiIndians,MIvsSRH,SRHvMI,HardikPandya,abhishek,IPL,JioCinema,Cummins,RohitSharma𓃵,SRH,SunrisersHyderabad,MI,TATAIPL"
